,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Team,2023-24,12,6,13,5,7.72,1.32,9.04,121.2,113.4,98.6,0.313,0.361,0.543,11.8,28.2,0.268,0.532,12.4,75.1,0.211,Wells Fargo Center,"198,832"
Team,,54,28,52,30,4.32,0.06,4.37,117.7,113.3,96.9,0.3,0.389,0.563,12.6,21.6,0.25,0.541,13,77.2,0.217,Wells Fargo Center,"839,261"
