Season,School,Conf,Class,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 21,OWS,DWS,WS,WS/40,Unnamed: 26,OBPM,DBPM,BPM
2019-20,Kentucky,SEC,FR,31,28,1069,16.3,0.531,0.474,0.322,0.342,424,1.4,12.1,7.3,18.7,1.5,1.3,14.1,22.7,,2.1,1.5,3.6,0.134,,2.4,2.0,4.4
Career,Kentucky,,,31,28,1069,16.3,0.531,0.474,0.322,0.342,424,1.4,12.1,7.3,18.7,1.5,1.3,14.1,22.7,,2.1,1.5,3.6,0.134,,2.4,2.0,4.4
