,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Lg Rank,2023-24,6,23,2,4,2,5,2,2,15,20,2,24,15,7,5,1,12,17,19,19,,1
Lg Rank,2022-23,3,28,3,3,3,13,3,4,8,27,1,12,6,15,26,1,12,11,8,22,,2
