Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
42,John Collins,PF,26,UTA,20,624,14.3,0.571,0.325,0.241,9.2,20.5,14.7,4.4,0.9,2.5,9.7,18.5,,0.7,0.4,1.1,0.085,,-0.8,-1.9,-2.7,-0.1
43,Shai Gilgeous-Alexander,PG,25,OKC,18,622,30.3,0.638,0.173,0.36,2.9,14.4,9.1,31.1,3.4,2.4,8.5,32,,2.6,1.2,3.8,0.295,,7.1,3.3,10.4,1.9
44,Rudy Gobert,C,31,MIN,19,622,18.2,0.625,0,0.667,13.4,25,19.7,4.6,0.9,6.2,12.9,16.2,,1.1,1.5,2.5,0.195,,-0.5,1.8,1.3,0.5
45,Austin Reaves,SG,25,LAL,21,620,14.6,0.583,0.386,0.34,3.5,13.1,8.6,23,1.7,0.3,16.8,20.9,,0.4,0.7,1.1,0.087,,-0.4,-0.3,-0.7,0.2
46,Bruce Brown,SG,27,IND,19,608,12.1,0.589,0.391,0.255,1.7,14.3,8,10.4,1.7,0.6,9.7,15.3,,0.7,0.2,0.8,0.066,,-1.1,-0.9,-2,0
47,Fred VanVleet,PG,29,HOU,16,604,15.6,0.539,0.573,0.181,0.9,11,6.1,34.2,0.9,1.1,9.3,19.8,,1,0.7,1.8,0.14,,2.4,0.2,2.6,0.7
48,Stephen Curry,PG,35,GSW,18,602,23.2,0.671,0.624,0.349,2.4,13.6,7.9,24.5,1,0.6,14.1,31.6,,1.7,0.5,2.2,0.177,,8.1,-0.6,7.5,1.5
49,Harrison Barnes,PF,31,SAC,19,600,11.5,0.626,0.566,0.296,2.7,9,5.7,6.4,1.2,0.4,8.2,13.8,,0.8,0.3,1.1,0.089,,-0.5,-1.1,-1.6,0.1
50,Anthony Edwards,SG,22,MIN,17,597,20.2,0.582,0.337,0.305,2.6,14.9,9.3,24.3,1.8,1.2,12.5,32,,0.7,1.1,1.8,0.145,,3.1,1,4.1,0.9
51,Brook Lopez,C,35,MIL,20,596,17,0.625,0.513,0.186,5.2,12.4,9,6.1,1.3,7.7,8.1,16.7,,1,0.7,1.7,0.135,,1,1.2,2.2,0.6
52,Herbert Jones,SF,25,NOP,19,595,15.5,0.656,0.435,0.383,3.6,11,7.3,12.4,2.8,4.1,14.7,15.1,,1,0.8,1.8,0.145,,-0.4,2.1,1.7,0.6
53,Kyle Kuzma,PF,28,WAS,19,594,18.8,0.564,0.335,0.185,3.2,17.9,10.4,23.8,0.5,1.7,10.6,31.4,,0.3,0.1,0.4,0.035,,2.5,-2.4,0.1,0.3
54,Keldon Johnson,SF,24,SAS,18,591,15.2,0.571,0.414,0.228,3.8,18.9,11.1,18.6,1.1,0.8,8.1,20.1,,0.8,0.2,0.9,0.076,,0.5,-1.1,-0.6,0.2
55,Grayson Allen,SG,28,PHO,18,590,11.9,0.655,0.581,0.223,2.9,13,8.2,12.7,0.9,1,14.7,14,,0.8,0.4,1.2,0.101,,-0.4,-1.2,-1.6,0.1
56,Jonas Valančiūnas,C,31,NOP,22,590,20.6,0.64,0.186,0.302,9.7,27.2,18.4,12.6,0.7,4.5,9.6,19.5,,1.6,0.8,2.4,0.195,,1.5,0.5,2,0.6
57,Jaren Jackson Jr.,C,24,MEM,19,585,16.4,0.536,0.311,0.392,6.1,16.4,11.1,10.4,0.9,5.8,9.6,27.9,,0.2,0.8,1,0.08,,-0.9,-0.2,-1.1,0.1
58,Jordan Hawkins,SG,21,NOP,21,584,11.2,0.56,0.679,0.208,3,11.8,7.4,8.9,0.8,0,8.4,19.2,,0.4,0.4,0.8,0.068,,-0.7,-1.8,-2.5,-0.1
59,Malik Beasley,SG,27,MIL,20,583,12.9,0.647,0.729,0.068,2.4,13.9,8.4,6.8,1.6,0.4,8.1,14.5,,0.8,0.4,1.3,0.104,,0.6,-0.3,0.2,0.3
60,Tyrese Haliburton,PG,23,IND,17,583,29.1,0.674,0.502,0.277,2,11.5,6.7,47.6,1.4,1.4,10.5,26.8,,3.3,0.1,3.4,0.28,,11.2,-0.5,10.7,1.9
61,Deandre Ayton,C,25,POR,18,575,16.7,0.603,0,0.114,10.4,29,19.1,8,1.9,2,15.3,16.9,,0.5,1,1.4,0.119,,-1.3,0.5,-0.9,0.2
62,Aaron Gordon,PF,28,DEN,17,575,14.4,0.525,0.201,0.258,8.9,14.7,11.8,14.7,1.5,2.2,12.2,18.4,,0.3,0.7,1,0.085,,-0.4,-0.2,-0.6,0.2
63,De'Anthony Melton,SG,25,PHI,19,574,13.2,0.551,0.578,0.256,3.1,11.5,7.3,16.5,2.1,1.2,10.9,18.2,,0.6,0.6,1.2,0.101,,0.1,0.2,0.3,0.3
64,Chet Holmgren,C,21,OKC,19,570,21.8,0.651,0.362,0.33,6.9,21.2,14.6,12.7,1.5,6.9,12.6,22.2,,1.3,1.1,2.4,0.205,,3,2.2,5.2,1
65,De'Andre Hunter,SF,26,ATL,19,570,11.9,0.594,0.46,0.33,2.4,12.8,7.5,5.8,1.5,1.1,11.2,18.4,,0.6,0.2,0.8,0.063,,-1.6,-1,-2.6,-0.1
66,Eric Gordon,SG,35,PHO,18,568,13.3,0.602,0.589,0.065,1.5,6,3.8,14.3,1.6,1.5,10.9,18.8,,0.6,0.4,1,0.081,,0.6,-1.5,-0.9,0.2
67,Taurean Prince,PF,29,LAL,19,568,7.1,0.529,0.57,0.107,1.2,7.2,4.4,6.6,1,1.2,7.7,13,,-0.1,0.5,0.4,0.036,,-3.6,-0.4,-4,-0.3
68,Mitchell Robinson,C,25,NYK,19,567,16.3,0.557,0,0.4,20,19.5,19.7,2.4,2.6,4.4,14.5,9.3,,0.8,1.2,2,0.169,,-0.6,1,0.5,0.4
69,Klay Thompson,SF,33,GSW,19,567,10.8,0.545,0.579,0.181,2.2,11.5,6.8,11.6,0.7,1.7,12.2,23.1,,-0.1,0.4,0.4,0.03,,-0.8,-1.6,-2.4,-0.1
70,Dorian Finney-Smith,PF,30,BRK,18,566,12,0.618,0.679,0.019,7.1,11.2,9.2,6,0.8,1.9,9.6,13.4,,0.8,0.3,1.2,0.098,,0.4,-1,-0.6,0.2
71,Spencer Dinwiddie,PG,30,BRK,18,565,15.4,0.566,0.586,0.35,1.7,11.5,6.7,26.8,1,0.3,11.4,19.9,,1.2,0.3,1.5,0.126,,1.2,-1.1,0,0.3
72,Reggie Jackson,PG,33,DEN,21,565,15.2,0.593,0.377,0.123,1.6,8.4,5,23.3,1.4,1,12.7,21,,0.7,0.5,1.2,0.099,,0.7,-1,-0.3,0.2
73,Ausar Thompson,SF,21,DET,20,565,13.8,0.503,0.192,0.223,12.1,23.2,17.6,13.4,1.7,4.2,16.9,18.8,,-0.1,0.7,0.5,0.045,,-2.9,0.7,-2.2,0
74,Zion Williamson,PF,23,NOP,18,562,22.4,0.603,0.021,0.452,6.7,13.4,10.1,26.8,1.8,0.9,12.6,29.4,,1.1,0.6,1.7,0.147,,3.1,0.2,3.2,0.7
75,Mike Conley,PG,36,MIN,19,560,14.9,0.602,0.634,0.157,1.9,8.4,5.4,28.9,1.6,0.3,9.4,14,,1.4,0.8,2.2,0.189,,1.3,1.4,2.7,0.7
76,Dyson Daniels,PG,20,NOP,22,560,10.9,0.48,0.424,0.159,4.4,15.2,9.8,16.8,2.9,1.4,15.2,14.5,,-0.1,0.8,0.7,0.059,,-2.9,2,-0.9,0.2
77,Kyle Lowry,PG,37,MIA,19,557,13,0.624,0.677,0.165,3.4,13.4,8.3,19.9,2,0.9,14.9,13.2,,0.9,0.6,1.4,0.124,,-0.5,1.1,0.5,0.4
78,Jusuf Nurkić,C,29,PHO,20,557,17.6,0.55,0.263,0.358,12.5,24.6,18.8,20.6,1.9,4.1,16.7,20.5,,0.6,0.9,1.5,0.13,,-0.4,1.2,0.8,0.4
79,Alperen Şengün,C,21,HOU,17,556,22.6,0.589,0.173,0.261,9.1,21.4,15.4,28.9,1.4,2.2,12.4,27.6,,1.1,1,2.1,0.178,,3.9,2.1,6,1.1
80,Saddiq Bey,SF,24,ATL,19,554,14.6,0.638,0.506,0.22,7.1,15,10.9,5.5,1.8,0.5,10.7,15.1,,1,0.2,1.2,0.103,,1.1,-0.9,0.2,0.3
81,Zach Collins,C,26,SAS,19,554,13.6,0.587,0.387,0.286,7.2,16.2,11.5,19.5,1.2,2.3,19.1,20.9,,0.2,0.2,0.4,0.036,,-1.6,-0.6,-2.3,0
82,Joel Embiid,C,29,PHI,16,552,32,0.619,0.163,0.568,10.5,25.6,18,33.3,1.4,4.9,12.5,36,,2.4,0.8,3.2,0.28,,8.3,2.7,11,1.8
83,Jeremy Sochan,PG,20,SAS,19,551,10.9,0.531,0.221,0.226,5.5,15.6,10.4,21.5,1.2,0.7,18,19.4,,-0.1,0.1,0,0.004,,-3,-1.4,-4.4,-0.3
84,Derrick White,SG,29,BOS,17,551,16.3,0.629,0.559,0.353,2.3,10.1,6.4,22.6,1.6,2.3,14.4,18,,1.2,0.8,2,0.177,,1.4,1.9,3.4,0.8
85,Gordon Hayward,SF,33,CHO,17,548,13.3,0.508,0.205,0.262,3.5,14,8.6,19.7,1.8,1.3,11.7,20.5,,0.2,0.1,0.3,0.026,,-1.6,-0.9,-2.5,-0.1
86,Grant Williams,PF,25,DAL,19,547,9.6,0.582,0.721,0.211,4.3,9.8,7,7.6,0.4,1.7,9.6,13.8,,0.5,0.2,0.7,0.061,,-1.3,-1.6,-2.9,-0.1
87,Josh Hart,SF,28,NYK,19,545,11.8,0.555,0.436,0.113,3.9,20.3,11.9,12.5,1.7,1.1,12,12.4,,0.5,0.9,1.4,0.12,,-1.3,2.1,0.8,0.4
88,Jalen Green,SG,21,HOU,17,543,13.9,0.545,0.412,0.346,1.4,14,7.9,15.9,0.9,1.2,12.4,27.6,,-0.1,0.7,0.6,0.051,,-0.1,-0.7,-0.8,0.2
89,Jimmy Butler,PF,34,MIA,16,541,22.4,0.606,0.181,0.57,6.9,11.6,9.2,18.4,1.7,1.4,8.6,26.4,,1.6,0.5,2.1,0.189,,4,-0.7,3.3,0.7
90,Victor Wembanyama,PF,20,SAS,18,540,17.8,0.528,0.325,0.258,7.6,29.3,18,13.7,2.1,8.2,16.1,30.3,,-0.7,0.7,0,0,,-1.9,0.6,-1.3,0.1
91,Luguentz Dort,SF,24,OKC,19,538,11.3,0.588,0.544,0.268,4.7,10.8,8,6,1.6,2.6,10.2,14.9,,0.5,0.7,1.2,0.104,,-1.5,0.3,-1.2,0.1
92,Bam Adebayo,C,26,MIA,16,537,22.4,0.589,0.012,0.443,6.9,27.7,17.1,19.2,1.7,2.9,11.4,28,,1,0.8,1.7,0.156,,1.7,1.2,2.9,0.7
93,P.J. Washington,PF,25,CHO,17,537,12.2,0.534,0.486,0.164,4.1,14.9,9.3,10.4,1,2.7,10.2,20.1,,0.1,0.1,0.2,0.021,,-1.4,-1.6,-3,-0.1
94,Jordan Clarkson,SG,31,UTA,17,536,12.5,0.516,0.368,0.229,4.2,7.3,5.7,24.9,1.3,0.3,15.6,26.7,,-0.1,0.1,0,0.004,,-1.1,-3.4,-4.5,-0.3
95,Jaime Jaquez Jr.,SF,22,MIA,20,534,14.6,0.61,0.333,0.158,4.9,11.9,8.3,14.3,2,0.7,12.9,18.5,,0.6,0.5,1.1,0.102,,-0.7,0,-0.7,0.2
96,Royce O'Neale,SF,30,BRK,18,534,10.6,0.55,0.847,0.046,2.6,16.3,9.7,14.5,1.4,2.7,11.9,12.1,,0.5,0.5,1,0.091,,-0.7,1.4,0.7,0.4
97,Jakob Poeltl,C,28,TOR,20,533,19.4,0.712,0,0.243,10.9,23.9,17.2,12.9,1.5,3.4,17.6,15.3,,1,0.9,1.9,0.17,,0.2,1.9,2.1,0.6
98,Donovan Mitchell,SG,27,CLE,15,532,22.6,0.573,0.397,0.289,3.4,12.7,8.2,24.5,2.8,1.2,9.7,32.1,,0.9,0.8,1.7,0.154,,4.4,1.4,5.8,1
99,Duncan Robinson,SF,29,MIA,18,532,13.9,0.65,0.641,0.13,1.1,9.1,5,13.7,0.6,0.5,8.1,18.3,,1,0.3,1.3,0.114,,1.1,-1.6,-0.5,0.2
100,Jordan Poole,SG,24,WAS,18,529,10.5,0.504,0.431,0.25,1.8,8.5,5.1,16.7,1.8,1.1,14.3,28.4,,-0.9,0.1,-0.8,-0.07,,-4.1,-2.9,-6.9,-0.7
101,Jalen Williams,PF,22,OKC,16,524,15.2,0.602,0.243,0.311,1.1,11.8,6.9,16.9,1.1,0.9,11.4,21.8,,0.7,0.6,1.3,0.121,,-0.3,-0.3,-0.6,0.2
102,Dillon Brooks,SF,28,HOU,17,522,10.3,0.603,0.402,0.237,2.6,9.2,6,8.3,1.5,0.2,13.9,18.4,,0.2,0.7,0.8,0.078,,-3.2,0.2,-3,-0.1
103,Keyonte George,PG,20,UTA,20,521,9.9,0.486,0.542,0.311,2.4,11.4,6.8,26.9,0.9,0.3,16.9,20.6,,-0.1,0.1,0.1,0.007,,-1.9,-2.5,-4.4,-0.3
104,Patrick Williams,PF,22,CHI,21,518,10.7,0.509,0.434,0.211,4.5,13.5,8.7,7.2,2,3.9,12.6,16.2,,-0.2,0.5,0.3,0.028,,-2.9,0.1,-2.8,-0.1
105,Myles Turner,C,27,IND,19,517,19.3,0.605,0.358,0.319,7.6,26,16.8,6.5,1.1,5.5,9.4,22.9,,0.9,0.4,1.3,0.119,,0.8,-0.7,0,0.3
106,Cole Anthony,PG,23,ORL,20,515,16.5,0.578,0.351,0.419,5.1,15.5,10.2,20.7,1.4,1.8,13.5,24.7,,0.7,0.8,1.5,0.138,,0.5,0.4,0.9,0.4
107,Jabari Smith Jr.,PF,20,HOU,17,513,14.3,0.601,0.455,0.129,5.5,22.6,14.2,7.2,1.1,2.6,10.5,18.1,,0.4,0.9,1.3,0.123,,-0.7,0.8,0.1,0.3
108,De'Aaron Fox,PG,26,SAC,14,512,23.4,0.584,0.367,0.364,2.9,11.7,7.1,30.9,2.1,0.8,8.1,32.7,,1.3,0.4,1.7,0.16,,4.7,-0.8,3.9,0.8
109,Lauri Markkanen,PF,26,UTA,15,512,21.7,0.625,0.508,0.298,7.5,20.6,13.8,5.2,1.6,2.3,6.6,24.6,,1.4,0.4,1.8,0.171,,4.7,-1.4,3.3,0.7
110,Jalen Suggs,SG,22,ORL,19,511,14.1,0.582,0.454,0.292,2.9,12.7,7.7,14.7,3.4,2,16.1,20.4,,0.2,1,1.2,0.111,,-1.8,2.5,0.7,0.3
111,Killian Hayes,PG,22,DET,19,510,12.5,0.499,0.315,0.179,1.1,10.6,5.8,22.5,2.2,2.1,7.6,16,,0.4,0.4,0.7,0.07,,-1.7,1.2,-0.5,0.2
112,OG Anunoby,SF,26,TOR,16,509,12.4,0.575,0.526,0.153,3.5,10.8,7,9.6,1.7,2,12.1,19.1,,0.1,0.6,0.7,0.068,,-0.7,0.3,-0.4,0.2
113,Tyus Jones,PG,27,WAS,19,509,14.7,0.558,0.335,0.073,1.3,10.1,5.6,24.6,1.6,0.3,6.1,16.2,,0.8,0.1,0.8,0.077,,-0.2,-1.2,-1.4,0.1
114,Russell Westbrook,PG,35,LAC,19,507,15.2,0.494,0.246,0.261,6.3,20.4,13.5,29,2.4,1.1,16,23.3,,-0.1,0.9,0.8,0.076,,-0.8,1.3,0.5,0.3
115,Deni Avdija,SF,23,WAS,19,506,16,0.612,0.297,0.2,5.3,16.2,10.7,18.8,1.6,0.8,12.4,18.1,,0.8,0.2,1,0.092,,0.5,-0.8,-0.4,0.2
116,Bogdan Bogdanović,SG,31,ATL,19,504,16.3,0.593,0.618,0.104,1.5,11.6,6.4,12.6,2.6,1.2,9,22.3,,0.7,0.3,1,0.098,,1.7,0,1.7,0.5
117,Kevin Huerter,SG,25,SAC,18,502,14.4,0.585,0.63,0.083,2.8,16.6,9.4,15.6,1.3,1,7.4,18.2,,0.7,0.4,1.1,0.106,,1.3,-0.4,0.9,0.4
118,LaMelo Ball,PG,22,CHO,15,501,20.7,0.568,0.45,0.211,4.8,13.3,8.9,39.3,2,0.7,15.3,32.5,,0.7,0.1,0.8,0.078,,4.6,-1,3.5,0.7
119,Darius Garland,PG,24,CLE,15,501,14.4,0.563,0.317,0.295,1.8,6.8,4.4,26.9,2.2,0.7,20,27.8,,-0.2,0.5,0.3,0.028,,-1,-1.4,-2.4,0
120,Josh Giddey,SG,21,OKC,19,500,12.1,0.477,0.185,0.119,6.9,16.2,12,22.4,1.3,1.7,17.6,25,,-0.7,0.7,0,0.004,,-2.2,-0.9,-3.1,-0.1
121,Kyrie Irving,SG,31,DAL,15,500,20.5,0.564,0.365,0.205,2.1,11.4,6.7,26.6,1.5,0.8,6.5,28.5,,1.1,0.3,1.4,0.133,,3.9,-1,2.9,0.6
122,Brandon Miller,SF,21,CHO,16,497,12,0.556,0.37,0.177,4.2,10.2,7.1,9.1,1,1.4,8.8,19.3,,0.4,0,0.3,0.034,,-1.3,-2,-3.3,-0.2
123,Andrew Wiggins,SF,28,GSW,18,490,8.7,0.492,0.286,0.257,7.5,9.6,8.6,6.6,0.6,1.3,12,22.7,,-0.5,0.3,-0.2,-0.016,,-4.1,-2.5,-6.5,-0.6
124,Ivica Zubac,C,26,LAC,19,490,18.5,0.638,0,0.387,13.6,24.2,19,4.9,0.2,5.2,12.5,17.6,,0.9,0.8,1.7,0.166,,-0.4,-0.5,-0.9,0.1
125,Mark Williams,C,22,CHO,18,488,22.8,0.679,0,0.435,16,24.7,20.2,6.2,1.5,3.3,8.4,16.6,,1.7,0.3,2,0.195,,2.1,-1.2,1,0.4
126,Caris LeVert,SG,29,CLE,16,486,12.7,0.506,0.408,0.235,1.6,11.3,6.6,17.1,1.6,1.1,8.6,22.9,,0,0.5,0.6,0.055,,-1.9,-0.1,-2,0
127,Keegan Murray,SF,23,SAC,15,485,10.8,0.501,0.578,0.108,5.3,15.5,10.2,8.1,1.8,1.4,8.5,18.5,,-0.1,0.5,0.4,0.038,,-2.1,-1.1,-3.2,-0.1
128,Chris Paul,PG,38,GSW,18,483,15.4,0.518,0.448,0.196,1.1,13.3,7.1,37.7,2.7,0.2,11.4,15.2,,0.9,0.6,1.5,0.149,,0.3,1.8,2.1,0.5
129,Buddy Hield,SF,31,IND,19,479,14.3,0.603,0.675,0.053,2.6,10.4,6.5,13.3,1.4,1.7,11.6,20.8,,0.5,0.1,0.6,0.056,,2.1,-1.9,0.2,0.3
